#timestamp x y z qx qy qz qw
249.983346 -7.315950 2.979419 12.541751 -0.005944 0.209305 -0.049958 0.976555
250.983346 -7.044512 3.224385 13.471948 -0.005853 0.113838 -0.025367 0.993158
252.033346 -6.801967 3.485129 14.459977 -0.006056 0.114226 -0.025445 0.993110
253.033347 -6.572267 3.734590 15.407777 -0.006223 0.115023 -0.025804 0.993008
254.050013 -6.333104 3.987601 16.366331 -0.006521 0.115357 -0.026172 0.992958
255.050013 -6.098382 4.236278 17.304758 -0.006706 0.115810 -0.026436 0.992897
256.050013 -5.857701 4.485790 18.249737 -0.007119 0.143662 -0.033998 0.989017
257.050013 -5.515284 4.727106 19.150511 -0.007188 0.166891 -0.040211 0.985129
258.050013 -5.178304 4.969575 20.058796 -0.007330 0.167333 -0.040128 0.985056
259.050014 -4.841153 5.214125 20.966608 -0.007337 0.167817 -0.040020 0.984978
260.066680 -4.496136 5.459264 21.891195 -0.007518 0.168180 -0.039969 0.984917
261.083347 -4.212191 5.904978 22.826923 0.005622 0.173094 -0.042505 0.983972
262.083347 -3.787889 6.053336 23.700294 0.000691 0.330798 -0.081004 0.940219
263.083347 -2.866132 6.118467 24.025301 -0.001178 0.627314 -0.155786 0.763025
264.100014 -2.029680 6.260072 24.547068 0.000031 0.404847 -0.099620 0.908942
265.116680 -1.241962 6.410336 25.170942 -0.001293 0.449007 -0.110852 0.886625
266.116681 -0.274119 6.409519 25.174097 -0.001771 0.816585 -0.203521 0.540152
267.116681 0.723068 6.369822 24.974581 -0.000487 0.722279 -0.179517 0.667898
268.116681 1.508685 6.221246 24.388535 -0.000883 0.934807 -0.233097 0.267956
269.133347 1.629411 5.978786 23.421946 -0.001338 0.968949 -0.241766 -0.051823
270.150014 1.421374 5.742395 22.454300 -0.000700 0.961891 -0.240087 -0.130855
271.150014 1.163091 5.510436 21.517084 -0.000638 0.961971 -0.240155 -0.130138
272.166681 0.902241 5.272649 20.554640 -0.000453 0.962046 -0.240235 -0.129436
273.166681 0.645840 5.040630 19.617689 -0.000333 0.962149 -0.240351 -0.128455
274.200014 0.382043 4.792839 18.639658 -0.000263 0.962292 -0.240239 -0.127589
275.233348 0.117547 4.552621 17.663853 -0.000161 0.962375 -0.240532 -0.126406
276.250014 -0.135347 4.314593 16.706678 -0.000116 0.962456 -0.240764 -0.125344
277.250014 -0.384911 4.076549 15.764265 -0.000075 0.962586 -0.240992 -0.123899
278.250015 -0.630094 3.842520 14.827593 -0.000073 0.962695 -0.241214 -0.122611
279.250015 -0.870898 3.607184 13.887014 0.000066 0.962752 -0.241866 -0.120868
